,date,contents,city,city_in_disaster
0,2020-08-04T21:46:01.000Z,"ENOUGH
you do not go on the media to tell people they have darker days coming at their most vulnerable moments
You do not go on the media to make jokes about a traumatic experience that injured hundreds and thousands of people and made them lose their families/homes/friends",beirut,1
1,2020-08-04T20:37:03.000Z,"My father was 15 years old in 1975. He lived in Ein El Rememneh, Beirut (the capital of the Lebanese Civil War). Its 1990 and the war ended. The war ended? He picked himself up and started his career from scratch. (1/3)",beirut,1
2,2020-08-04T21:45:37.000Z,"Just got back home, passed by 5 blood banks with a couple of friends, all full with people donating blood, from Tripoli to Antelias.
Lebanese are good people,  they don't deserve this.",beirut,1
3,2020-08-04T17:42:13.000Z,"If anyone needs a place to stay 
My house in ain el remmeneh is open 
El dawle ma 3am tse3edna w ma elna 8er ba3ed at this point",beirut,1
4,2020-08-03T09:23:56.000Z,Will you still love me When I've got nothing but my aching soul?,beirut,1
5,2020-08-04T20:55:42.000Z,The blood is on the government’s hands,beirut,1
6,2020-08-04T19:00:39.000Z,"Don't just to pray for Lebanon.
Lebanese: Go donate blood if you fit the criteria.
Everyone else, please donate.",beirut,1
7,2020-08-04T17:55:40.000Z,"I feel really powerless 
I want to help in any way possible
I can't donate blood bcz i recently made a tattoo bass if anyone needs a ride in Beirut to any hospital please beje be5edkoun w bredkoun 3al bet just contact me",beirut,1
8,2020-08-04T20:19:43.000Z,i didn’t think i would live to see Lebanon turn into a worldwide trend for the most heartbreaking reason ,beirut,1
9,2020-08-04T16:53:18.000Z,"Checking in. Wounded but stable. To all the eds asking if I can work, answer is no",beirut,1
19,2020-08-04T19:48:52.000Z,"Lebanon needs emergency international relief 
@UNAction
 @antonioguterres",beirut,1
20,2020-08-04T18:39:04.000Z,The international community needs to step in and help Lebanon. This is now a case of simple humanity and empathy. #Lebanonexplosion,beirut,1
21,2020-08-04T16:30:58.000Z,Does anyone need a home tonight? Contact me,beirut,1
22,2020-08-04T21:25:27.000Z,Exhausted.,beirut,1
23,2020-08-04T17:58:45.000Z,Beirut’s hospitals are at full capacity.,beirut,1
24,2020-08-04T20:09:48.000Z,"Seeing the devestation tonight is overwhelming. Praying for families across #Lebanon caring for their loved ones. Thoughts are with the first responders , Red Cross, and medical workers doing all they can to save lives this evening. #BeirutExplosion",beirut,1
25,2020-08-04T22:31:01.000Z,"Horrific day! All our thoughts go to 
@RedCrossLebanon
 paramedics & volunteers who have been evacuating the injured by #LebanonExplosion. Proud of each & everyone of you. We stand with you & with the Lebanese people during this difficult time. 
@IFRC_MENA
 allocated funds in support",beirut,1
26,2020-08-04T20:49:23.000Z,Beirut declared a city in a state of emergency. Tomorrow declared a national day of mourning.   Okay. And then? Accountability? And how to compensate for the billions lost when the country is bankrupt already?,beirut,1
27,2020-08-04T20:00:39.000Z,Dear AUB community AUBMC is in need of blood from all types If you are close and can donate please proceed to the lab in the medical center,beirut,1
28,2020-08-04T18:26:56.000Z,"Thanks to all my friends who called me from many countries and from my work clients and suppliers even from Far East countries
 when they ask me why I love all my friends 
 I wish safety to all friends and families and praying for dead’s souls #بيروت #لبنان",beirut,1
29,2020-08-04T18:58:09.000Z,"Hey world
Lebanon is not okay
But we, the people, are fine... we have the best medical and rescue teams in the world.
Pray for #beirut ",beirut,1
30,2020-08-03T17:24:47.000Z,Tweeps here bully tiktokers then get mad when NekatLebanese does the bullying. Make it make sense.,beirut,1
31,2020-08-04T18:14:12.000Z,"My heart is broken!
#بيروت",beirut,1
32,2020-08-04T21:25:08.000Z,"These people currently stable in AUBMC: Olga Feghali, Amar Itani, Joe Chikhani, Liliane Shayto, Zeina Chamoun, Mouhiba Bou Fakhreddine, John (or Joan) Tamer - hope their families see this and are comforted on this terrible night.",beirut,1
33,2020-08-03T19:23:07.000Z,People will quit on you. You gotta get up everyday and make sure you never quit on yourself,beirut,1
34,2020-08-04T17:53:32.000Z,"i love you, Beirut",beirut,1
35,2020-08-04T16:53:40.000Z,Our hearts are broken. How much more can we take? How much more can we handle? GO TO IRAN AND FIGHT YOUR WAR FROM THERE. THIS IS NOT YOUR LAND. THIS IS OUR #LEBANON.,beirut,1
36,2020-08-04T16:50:54.000Z,Don’t try to lie to us and say it’s a “fireworks” warehouse. Leave us the fuck alone. What more do you want? What more can this country give for a cause that’s not ours and we want nothing to do with! #Lebanon #Beirut,beirut,1
37,2020-08-04T16:22:55.000Z,Beirut ,beirut,1
38,2020-08-04T19:05:38.000Z,Its ok to cry my friends,beirut,1
39,2020-08-03T07:44:52.000Z,A part of me doesn’t wanna quit my family again,beirut,1
40,2020-08-04T19:45:18.000Z,I am so thankful for the kind messages I received this evening. Thank you all for caring ,beirut,1
41,2020-08-04T15:58:58.000Z,"BREAKING: A ship carrying fireworks caused today's massive Beirut, Lebanon explosion, an official says. There are reportedly 'hundreds' of injuries. #بيروت",beirut,1
42,2020-08-04T18:04:51.000Z,"My country needs a break from bleeding
 #prayforbeirut",beirut,1
43,2020-08-04T17:18:21.000Z,"I am safe but extremely traumatized, thank you to those who were worried and checked in",beirut,1
44,2020-08-04T08:57:30.000Z,tell your friends you love them,beirut,1
45,2020-08-04T22:59:08.000Z,"I feel my heart is about to explode
 i can’t sleep",beirut,1
46,2020-08-04T22:10:23.000Z,"lebanon is surrounded by countries that have attacked & threatened them, tonight they are sleeping in broken homes durring a deadly pandemic, Leb did not deserve that",beirut,1
47,2020-08-04T21:17:04.000Z,Tonight we will all sleep in tears.,beirut,1
48,2020-08-04T17:08:31.000Z,"Supporting 
@RedCrossLebanon
 now to respond to the tragic massive explosion in Beirut. Red Cross ambulances on the scene and situation is fluid. 
@IFRC_MENA",beirut,1
49,2020-08-04T22:14:44.000Z,"Grief, heavy heart, held back tears & a deep deep sadness & love for #Beirut that’s breaking all our hearts. Tomorrow if I can do anything to support, I will. Today, I just feel defeated.",beirut,1
50,2020-08-04T18:34:17.000Z,"Every time we think we have seen it all, another bigger tragedy hits Lebanon. If this is a result of an act of negligence, I hope every “criminal” involved in any way, be it direct or indirect, be prosecuted to the full extent of the law.
#criminals #accountability #lebanon",beirut,1
51,2020-08-04T18:22:14.000Z,"Guys offre joie فرح العطاء
Aam tekhod aalam aa Kfifen
Li 3ayez beit aw mahal yeb2a please this is their number
Phone Number: 71832439

RETWEET!",beirut,1
52,2020-08-04T22:14:07.000Z,"It’s was my prom night today, but I couldn’t enjoy it at all I was so worried about everything, and when dad came to pick me up I just start crying, I couldn’t stop thinking about what happened today, that’s so sad and now I can’t sleep, stay strong everyone",beirut,1
53,2020-08-04T20:51:44.000Z,I don’t think we will ever recover from this,beirut,1
54,2020-08-03T18:31:33.000Z,you lost me at “dr” in your instagram handle,beirut,1
55,2020-08-04T17:06:20.000Z,"Nitrate is highly flammable; if exposed to any source of flame will explode aggressively producing toxic fumes. Please stay away from the area. The explosion shook us deeply in our hearts. Prayers to our nation. 
#Lebanon
#Beirut 
#لبنان
#بيروت",beirut,1
56,2020-08-04T17:23:45.000Z,"Sending everyone love. I hope you're all safe, and you can DM if you need any help ",beirut,1
57,2020-08-03T15:53:46.000Z,I’m here for me and you’re here for you,beirut,1
65,2020-08-04T21:34:26.000Z,Can we just live in peace?,beirut,1
66,2020-08-04T23:34:30.000Z,"I don’t want to see posts “God help #Lebanon” or “candle lit for #Beirut” NO! As much as I am praying for my country, my fury wants to see them hanged!! Be responsible, donate blood and it is time to take back what’s ours!! Enough",beirut,1
67,2020-08-04T22:12:31.000Z,"URGENT
A 16 year old is about to lose his life.
He desperately needs blood. 

He’s in CMC.

AB- can donate.

Please contact me ASAP if you can
& please rt!!!!

70 313 105",beirut,1
68,2020-08-04T23:26:14.000Z,I really can’t sleep knowing many have lost their life and many others are still missing,beirut,1
69,2020-08-04T22:45:26.000Z,"No words can describe the devastation, sorrow and suffering Lebanon is going through after #Beirut #explosion. Lebanon was already struggling politically, economically, and with COVID-19 surging again. #MentalHealth needs are going to be paramount and as important as basic needs!",beirut,1
70,2020-08-04T20:00:29.000Z,"Guys, if you have a house in jnoub or bel shmel, then I really recommend that you go there for now. The atmosphere on Beirut is very toxic, and may cause serious problems.",beirut,1
71,2020-08-04T17:01:40.000Z,My loved ones and I are safe from the explosion in Beirut. But many people have had their lives change forever. I don’t know how much more this country can take.,beirut,1
72,2020-08-04T20:00:39.000Z,"My friends around Beirut, don’t hesitate to dm me if you need ANY thing!
Allah ykoun maakon",beirut,1
73,2020-08-04T22:46:00.000Z,Guys any therapist can tell us how to deal with such trauma with kids? My nephews are terrified. What should we expect and how to deal with it.,beirut,1
74,2020-08-03T06:51:08.000Z,"Can we go back to the way things were just for a day?
I miss n o r m a l.",beirut,1
